Episode,Scores
1,-159.62904301340745
2,-139.30507863576923
3,-190.83805854003077
4,-69.73085904496828
5,-69.88866624273608
6,-122.28091586425039
7,-155.09438619949918
8,-153.4413556588081
9,-155.75865446707928
10,-157.52764080276515
11,-185.41798779481158
12,-143.86470535998197
13,-74.50578860553121
14,-80.41010920946741
15,-163.1376948417965
16,-211.77109468062622
17,-176.92432066329752
18,-72.96192860100014
19,-70.26728661556369
20,-287.6164162734551
21,-276.5982494443903
22,-257.70297885846327
23,-331.9843459242837
24,-331.2908505484161
25,-334.8050232465158
26,-260.96428605156416
27,-237.2844374932237
28,-341.2816602647958
29,-245.81818582413743
30,-235.94996648536457
31,-330.14690489927386
32,-326.62330938105015
33,-328.90521998006517
34,-330.3797547147024
35,-331.1620810093688
36,-449.27074403700095
37,-332.76121384948203
38,-329.2711655299613
39,-334.449776706473
40,-327.94893997241434
41,-331.5397962074221
42,-322.3123236739762
43,-248.81607260047628
44,-246.07321176134988
45,-242.72304159647481
46,-246.37445905778984
47,-243.77581941107448
48,-243.21545189987938
49,-245.02256666064375
50,-248.2511733184633
51,-244.67831590084953
52,-245.97063843098263
53,-245.49612511927626
54,-248.1979801706329
55,-248.60653152813444
56,-248.71759486573956
57,-245.3647490098481
58,-251.44688296003957
59,-248.1696813125395
60,-246.65896853754253
61,-248.55116188131785
62,-243.22669586830068
63,-247.9547293710343
64,-245.3470283679289
65,-245.68521660951282
66,-243.40053566329496
67,-249.24983082721408
68,-247.79050240333117
69,-250.1464927975316
70,-244.3059721756487
71,-249.65413245894905
72,-243.56020851926053
73,-251.3081298883825
74,-243.4521804691429
75,-246.86259813134737
76,-248.3070882079271
77,-244.99952323131265
78,-248.28575967724024
79,-247.65533514884257
80,-247.7679512870201
81,-248.20484044580888
82,-246.06064066944958
83,-246.67547502263972
84,-247.38976242982517
85,-249.32616273071756
86,-246.5774954160408
87,-250.24139387081394
88,-244.29178253025162
89,-248.47222536772327
90,-245.67646113972748
91,-246.54454714537712
92,-246.19148776986674
93,-246.86105901559185
94,-245.50329461642232
95,-247.45639351598476
96,-249.8356068988973
97,-245.1118114805721
98,-247.646057115848
99,-247.94425537864532
100,-243.87294532358382
